# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_walking_rpy_validation.bag'
# timestamp tx ty tz qx qy qz qw
1341846701.1250 -0.5729 -2.9025 1.5399 -0.7868 -0.0718 0.0624 0.6098
1341846701.1350 -0.5720 -2.9024 1.5398 -0.7872 -0.0719 0.0626 0.6093
1341846701.1450 -0.5712 -2.9022 1.5398 -0.7874 -0.0719 0.0629 0.6090
1341846701.1550 -0.5703 -2.9020 1.5399 -0.7877 -0.0722 0.0628 0.6086
1341846701.1650 -0.5693 -2.9015 1.5399 -0.7873 -0.0713 0.0629 0.6092
1341846701.1750 -0.5682 -2.9016 1.5396 -0.7883 -0.0731 0.0616 0.6079
1341846701.1849 -0.5675 -2.9011 1.5396 -0.7887 -0.0735 0.0605 0.6074
1341846701.1949 -0.5670 -2.9009 1.5396 -0.7883 -0.0723 0.0607 0.6080
1341846701.2050 -0.5663 -2.9000 1.5393 -0.7901 -0.0744 0.0592 0.6055
1341846701.2150 -0.5658 -2.8998 1.5392 -0.7906 -0.0735 0.0595 0.6050
1341846701.2250 -0.5649 -2.8993 1.5392 -0.7923 -0.0752 0.0587 0.6027
1341846701.2349 -0.5642 -2.8987 1.5390 -0.7940 -0.0756 0.0585 0.6003
1341846701.2450 -0.5640 -2.8982 1.5387 -0.7948 -0.0752 0.0595 0.5993
1341846701.2550 -0.5634 -2.8977 1.5386 -0.7957 -0.0751 0.0592 0.5981
1341846701.2651 -0.5628 -2.8973 1.5386 -0.7963 -0.0752 0.0585 0.5973
1341846701.2749 -0.5622 -2.8966 1.5385 -0.7964 -0.0747 0.0577 0.5974
1341846701.2877 -0.5614 -2.8960 1.5383 -0.7968 -0.0739 0.0567 0.5970
1341846701.2950 -0.5608 -2.8955 1.5379 -0.7974 -0.0737 0.0562 0.5962
1341846701.3050 -0.5601 -2.8947 1.5375 -0.7988 -0.0752 0.0557 0.5942
1341846701.3150 -0.5596 -2.8943 1.5370 -0.8001 -0.0762 0.0561 0.5923
1341846701.3250 -0.5590 -2.8939 1.5369 -0.8010 -0.0762 0.0574 0.5910
1341846701.3350 -0.5583 -2.8934 1.5367 -0.8017 -0.0759 0.0589 0.5900
1341846701.3450 -0.5577 -2.8930 1.5366 -0.8019 -0.0757 0.0605 0.5896
1341846701.3549 -0.5570 -2.8926 1.5366 -0.8015 -0.0757 0.0613 0.5899
1341846701.3653 -0.5563 -2.8921 1.5368 -0.8010 -0.0748 0.0628 0.5906
1341846701.3750 -0.5550 -2.8921 1.5367 -0.8016 -0.0769 0.0620 0.5897
1341846701.3856 -0.5548 -2.8919 1.5363 -0.8018 -0.0756 0.0641 0.5893
1341846701.3950 -0.5543 -2.8915 1.5362 -0.8016 -0.0757 0.0656 0.5893
1341846701.4050 -0.5538 -2.8910 1.5361 -0.8019 -0.0759 0.0672 0.5889
1341846701.4169 -0.5532 -2.8909 1.5356 -0.8028 -0.0771 0.0683 0.5873
1341846701.4306 -0.5526 -2.8905 1.5354 -0.8033 -0.0779 0.0704 0.5863
1341846701.4349 -0.5517 -2.8900 1.5354 -0.8035 -0.0789 0.0713 0.5857
1341846701.4449 -0.5510 -2.8896 1.5352 -0.8035 -0.0796 0.0727 0.5855
1341846701.4551 -0.5505 -2.8893 1.5351 -0.8031 -0.0798 0.0738 0.5858
1341846701.4649 -0.5501 -2.8889 1.5354 -0.8019 -0.0796 0.0761 0.5872
1341846701.4749 -0.5495 -2.8886 1.5355 -0.8012 -0.0801 0.0774 0.5880
1341846701.4849 -0.5488 -2.8884 1.5354 -0.8001 -0.0812 0.0790 0.5891
1341846701.4949 -0.5482 -2.8881 1.5352 -0.7989 -0.0819 0.0818 0.5903
1341846701.5049 -0.5476 -2.8879 1.5349 -0.7986 -0.0831 0.0843 0.5901
1341846701.5150 -0.5470 -2.8880 1.5344 -0.7988 -0.0859 0.0860 0.5892
1341846701.5277 -0.5465 -2.8877 1.5343 -0.7985 -0.0870 0.0884 0.5890
1341846701.5349 -0.5453 -2.8875 1.5340 -0.7992 -0.0897 0.0891 0.5876
1341846701.5449 -0.5448 -2.8872 1.5339 -0.7981 -0.0889 0.0934 0.5885
1341846701.5549 -0.5439 -2.8872 1.5338 -0.7979 -0.0896 0.0958 0.5884
1341846701.5649 -0.5428 -2.8875 1.5332 -0.7973 -0.0915 0.0973 0.5886
1341846701.5750 -0.5420 -2.8874 1.5331 -0.7959 -0.0915 0.0997 0.5901
1341846701.5849 -0.5413 -2.8875 1.5334 -0.7944 -0.0912 0.1024 0.5917
1341846701.5950 -0.5404 -2.8875 1.5333 -0.7926 -0.0917 0.1043 0.5937
1341846701.6049 -0.5396 -2.8875 1.5330 -0.7919 -0.0910 0.1070 0.5943
1341846701.6149 -0.5386 -2.8873 1.5328 -0.7907 -0.0913 0.1084 0.5956
1341846701.6250 -0.5377 -2.8873 1.5325 -0.7904 -0.0908 0.1107 0.5956
1341846701.6349 -0.5368 -2.8872 1.5326 -0.7896 -0.0903 0.1139 0.5961
1341846701.6449 -0.5358 -2.8871 1.5324 -0.7892 -0.0901 0.1157 0.5964
1341846701.6550 -0.5346 -2.8867 1.5326 -0.7882 -0.0898 0.1171 0.5975
1341846701.6650 -0.5337 -2.8866 1.5324 -0.7879 -0.0898 0.1181 0.5977
1341846701.6749 -0.5328 -2.8865 1.5322 -0.7873 -0.0891 0.1186 0.5985
1341846701.6850 -0.5317 -2.8866 1.5320 -0.7867 -0.0887 0.1187 0.5993
1341846701.6949 -0.5308 -2.8864 1.5318 -0.7855 -0.0878 0.1187 0.6010
1341846701.7050 -0.5299 -2.8865 1.5317 -0.7847 -0.0875 0.1192 0.6020
1341846701.7149 -0.5290 -2.8865 1.5315 -0.7843 -0.0882 0.1200 0.6023
1341846701.7250 -0.5283 -2.8865 1.5314 -0.7837 -0.0891 0.1216 0.6026
1341846701.7349 -0.5274 -2.8865 1.5312 -0.7830 -0.0905 0.1230 0.6029
1341846701.7449 -0.5267 -2.8864 1.5310 -0.7829 -0.0915 0.1248 0.6026
1341846701.7550 -0.5259 -2.8863 1.5309 -0.7828 -0.0919 0.1265 0.6024
1341846701.7650 -0.5251 -2.8863 1.5307 -0.7826 -0.0921 0.1278 0.6023
1341846701.7749 -0.5244 -2.8862 1.5306 -0.7825 -0.0919 0.1285 0.6023
1341846701.7849 -0.5236 -2.8860 1.5305 -0.7823 -0.0918 0.1289 0.6025
1341846701.7951 -0.5229 -2.8858 1.5304 -0.7821 -0.0919 0.1291 0.6027
1341846701.8049 -0.5221 -2.8857 1.5301 -0.7822 -0.0931 0.1290 0.6024
1341846701.8156 -0.5214 -2.8855 1.5298 -0.7814 -0.0945 0.1301 0.6030
1341846701.8250 -0.5206 -2.8854 1.5298 -0.7808 -0.0976 0.1311 0.6030
1341846701.8349 -0.5201 -2.8857 1.5295 -0.7811 -0.0988 0.1328 0.6021
1341846701.8449 -0.5196 -2.8851 1.5292 -0.7797 -0.1002 0.1367 0.6028
1341846701.8549 -0.5189 -2.8851 1.5289 -0.7792 -0.1011 0.1391 0.6028
1341846701.8654 -0.5183 -2.8849 1.5287 -0.7787 -0.1012 0.1411 0.6028
1341846701.8754 -0.5174 -2.8850 1.5284 -0.7790 -0.1011 0.1408 0.6026
1341846701.8849 -0.5168 -2.8845 1.5279 -0.7782 -0.1013 0.1424 0.6032
1341846701.8949 -0.5160 -2.8844 1.5274 -0.7787 -0.1018 0.1421 0.6025
1341846701.9050 -0.5152 -2.8842 1.5270 -0.7790 -0.1023 0.1415 0.6022
1341846701.9150 -0.5146 -2.8841 1.5265 -0.7790 -0.1031 0.1413 0.6022
1341846701.9249 -0.5138 -2.8840 1.5260 -0.7793 -0.1044 0.1416 0.6014
1341846701.9349 -0.5131 -2.8837 1.5255 -0.7797 -0.1051 0.1421 0.6006
1341846701.9449 -0.5121 -2.8837 1.5249 -0.7809 -0.1060 0.1435 0.5987
1341846701.9550 -0.5113 -2.8833 1.5242 -0.7813 -0.1055 0.1447 0.5979
1341846701.9650 -0.5105 -2.8831 1.5236 -0.7820 -0.1047 0.1453 0.5970
1341846701.9749 -0.5096 -2.8829 1.5230 -0.7828 -0.1036 0.1451 0.5962
1341846701.9850 -0.5086 -2.8824 1.5225 -0.7835 -0.1026 0.1445 0.5956
1341846701.9949 -0.5077 -2.8822 1.5220 -0.7844 -0.1017 0.1442 0.5947
1341846702.0049 -0.5066 -2.8823 1.5217 -0.7856 -0.1013 0.1420 0.5936
1341846702.0150 -0.5060 -2.8815 1.5210 -0.7847 -0.1007 0.1436 0.5945
1341846702.0249 -0.5053 -2.8814 1.5203 -0.7854 -0.0993 0.1448 0.5936
1341846702.0349 -0.5045 -2.8812 1.5199 -0.7857 -0.0990 0.1461 0.5928
1341846702.0450 -0.5037 -2.8808 1.5193 -0.7863 -0.0990 0.1476 0.5918
1341846702.0549 -0.5029 -2.8806 1.5189 -0.7867 -0.0989 0.1495 0.5908
1341846702.0649 -0.5022 -2.8803 1.5185 -0.7872 -0.0985 0.1508 0.5898
1341846702.0749 -0.5015 -2.8799 1.5181 -0.7873 -0.0979 0.1520 0.5895
1341846702.0849 -0.5008 -2.8795 1.5179 -0.7873 -0.0967 0.1527 0.5895
1341846702.0959 -0.5001 -2.8790 1.5176 -0.7871 -0.0955 0.1535 0.5897
1341846702.1049 -0.4994 -2.8786 1.5176 -0.7874 -0.0948 0.1542 0.5893
1341846702.1149 -0.4987 -2.8786 1.5176 -0.7882 -0.0944 0.1534 0.5884
1341846702.1261 -0.4982 -2.8780 1.5173 -0.7879 -0.0952 0.1549 0.5884
1341846702.1349 -0.4977 -2.8777 1.5172 -0.7882 -0.0961 0.1550 0.5878
1341846702.1449 -0.4970 -2.8778 1.5171 -0.7899 -0.0973 0.1540 0.5855
1341846702.1549 -0.4965 -2.8771 1.5169 -0.7896 -0.0977 0.1556 0.5855
1341846702.1649 -0.4959 -2.8769 1.5168 -0.7903 -0.0979 0.1561 0.5843
1341846702.1749 -0.4953 -2.8766 1.5167 -0.7903 -0.0979 0.1563 0.5843
1341846702.1849 -0.4946 -2.8768 1.5170 -0.7912 -0.0981 0.1557 0.5831
1341846702.1953 -0.4941 -2.8765 1.5171 -0.7911 -0.0988 0.1562 0.5830
1341846702.2049 -0.4937 -2.8761 1.5170 -0.7905 -0.0999 0.1578 0.5834
1341846702.2149 -0.4932 -2.8760 1.5171 -0.7903 -0.1013 0.1583 0.5832
1341846702.2249 -0.4927 -2.8757 1.5171 -0.7897 -0.1023 0.1592 0.5836
1341846702.2349 -0.4923 -2.8755 1.5172 -0.7893 -0.1036 0.1602 0.5837
1341846702.2449 -0.4918 -2.8753 1.5172 -0.7888 -0.1048 0.1616 0.5837
1341846702.2550 -0.4912 -2.8753 1.5172 -0.7888 -0.1068 0.1630 0.5829
1341846702.2650 -0.4908 -2.8750 1.5172 -0.7883 -0.1086 0.1649 0.5827
1341846702.2749 -0.4904 -2.8747 1.5171 -0.7879 -0.1099 0.1666 0.5825
1341846702.2849 -0.4899 -2.8745 1.5171 -0.7877 -0.1111 0.1688 0.5820
1341846702.2949 -0.4893 -2.8743 1.5172 -0.7876 -0.1119 0.1709 0.5813
1341846702.3049 -0.4887 -2.8743 1.5168 -0.7879 -0.1137 0.1714 0.5804
1341846702.3149 -0.4881 -2.8740 1.5167 -0.7877 -0.1145 0.1725 0.5802
1341846702.3249 -0.4870 -2.8741 1.5170 -0.7889 -0.1162 0.1710 0.5787
1341846702.3349 -0.4863 -2.8739 1.5168 -0.7889 -0.1180 0.1711 0.5783
1341846702.3449 -0.4858 -2.8738 1.5167 -0.7890 -0.1200 0.1714 0.5777
1341846702.3549 -0.4853 -2.8736 1.5165 -0.7887 -0.1219 0.1722 0.5774
1341846702.3649 -0.4848 -2.8733 1.5167 -0.7885 -0.1224 0.1740 0.5771
1341846702.3749 -0.4841 -2.8732 1.5167 -0.7887 -0.1238 0.1756 0.5761
1341846702.3849 -0.4837 -2.8730 1.5165 -0.7882 -0.1246 0.1771 0.5760
1341846702.3950 -0.4831 -2.8727 1.5164 -0.7884 -0.1252 0.1784 0.5752
1341846702.4049 -0.4827 -2.8726 1.5164 -0.7887 -0.1261 0.1791 0.5744
1341846702.4150 -0.4823 -2.8722 1.5163 -0.7885 -0.1273 0.1798 0.5742
1341846702.4249 -0.4819 -2.8720 1.5162 -0.7885 -0.1289 0.1803 0.5737
1341846702.4358 -0.4816 -2.8718 1.5161 -0.7882 -0.1310 0.1813 0.5733
1341846702.4449 -0.4812 -2.8719 1.5160 -0.7881 -0.1337 0.1825 0.5724
1341846702.4552 -0.4807 -2.8719 1.5160 -0.7875 -0.1361 0.1841 0.5722
1341846702.4670 -0.4800 -2.8721 1.5160 -0.7880 -0.1375 0.1840 0.5712
1341846702.4751 -0.4799 -2.8716 1.5157 -0.7862 -0.1398 0.1876 0.5720
1341846702.4849 -0.4797 -2.8709 1.5153 -0.7848 -0.1415 0.1907 0.5725
1341846702.4958 -0.4793 -2.8706 1.5152 -0.7844 -0.1427 0.1925 0.5721
1341846702.5050 -0.4789 -2.8707 1.5152 -0.7856 -0.1436 0.1924 0.5703
1341846702.5149 -0.4787 -2.8705 1.5150 -0.7858 -0.1447 0.1933 0.5694
1341846702.5249 -0.4784 -2.8702 1.5149 -0.7859 -0.1462 0.1939 0.5687
1341846702.5363 -0.4782 -2.8699 1.5147 -0.7858 -0.1482 0.1947 0.5680
1341846702.5449 -0.4780 -2.8697 1.5146 -0.7861 -0.1506 0.1958 0.5665
1341846702.5549 -0.4779 -2.8694 1.5144 -0.7862 -0.1531 0.1971 0.5653
1341846702.5650 -0.4779 -2.8691 1.5143 -0.7854 -0.1552 0.1993 0.5651
1341846702.5750 -0.4778 -2.8687 1.5142 -0.7858 -0.1582 0.2013 0.5629
1341846702.5849 -0.4778 -2.8683 1.5141 -0.7855 -0.1600 0.2029 0.5624
1341846702.5986 -0.4776 -2.8678 1.5140 -0.7854 -0.1613 0.2036 0.5619
1341846702.6050 -0.4776 -2.8674 1.5139 -0.7850 -0.1625 0.2044 0.5618
1341846702.6150 -0.4774 -2.8668 1.5139 -0.7851 -0.1640 0.2044 0.5612
1341846702.6249 -0.4776 -2.8663 1.5138 -0.7851 -0.1659 0.2043 0.5607
1341846702.6365 -0.4777 -2.8658 1.5137 -0.7846 -0.1684 0.2046 0.5605
1341846702.6449 -0.4782 -2.8654 1.5135 -0.7836 -0.1711 0.2064 0.5604
1341846702.6549 -0.4783 -2.8652 1.5135 -0.7827 -0.1745 0.2080 0.5600
1341846702.6650 -0.4780 -2.8649 1.5137 -0.7818 -0.1782 0.2089 0.5598
1341846702.6749 -0.4781 -2.8647 1.5138 -0.7808 -0.1812 0.2113 0.5593
